latitude,longitude,blk_no,postal_code,address,cbd_dist,min_dist_mrt
1.3840206,103.8372505,4,787082,174 ANG MO KIO AVE 4,11279.239026288613,113.24899703092002
1.3739835500000002,103.85559074965985,541,560541,541 ANG MO KIO AVE 10,10071.820644683878,801.4329078000324
1.373602,103.8376182,,569897,163 ANG MO KIO AVE 4,10133.354485474032,190.56289324214424
1.3677793999999999,103.85533443841078,446,560446,446 ANG MO KIO AVE 10,9385.217268673317,695.0077023915254
1.37165465,103.85775588826617,557,560557,557 ANG MO KIO AVE 10,9829.270327480213,577.5059479757391
1.3801792,103.83575158255286,603,560603,603 ANG MO KIO AVE 5,10884.008991673305,522.6793807930633
1.37109375,103.84766290778387,709,560709,709 ANG MO KIO AVE 8,9749.361310552855,235.37217033840636
1.3613534500000002,103.85168816395225,333,560333,333 ANG MO KIO AVE 1,8664.030020889622,994.6050859286959
1.3840206,103.8372505,4,787082,109 ANG MO KIO AVE 4,11279.239026288613,113.24899703092002
1.3698918500000001,103.85943216489414,564,560564,564 ANG MO KIO AVE 3,9650.585347778924,365.1583439708213
1.3651411,103.84172788267786,218,560218,218 ANG MO KIO AVE 1,9144.999357179253,215.42587931721948
1.3720322999999999,103.85760484542894,556,560556,556 ANG MO KIO AVE 10,9869.708428287886,607.040882594472
1.3755022499999998,103.83995684140612,156,560616,156 ANG MO KIO AVE 4,10306.03053615421,514.9076211683378
1.3635153500000001,103.8567036832668,471,560471,471 ANG MO KIO AVE 10,8923.26188807935,987.5165993154975
1.3679009500000001,103.85345464052526,434,560434,434 ANG MO KIO AVE 10,9390.973422135987,499.5361793683185
1.3707993,103.85919120619337,560,560560,560 ANG MO KIO AVE 10,9748.0363897617,399.051988820745
1.3618822,103.8516941,,560332,332 ANG MO KIO AVE 1,8722.499075636972,938.1575273164949
1.36537865,103.8529306320964,421,560421,421 ANG MO KIO AVE 10,9110.815936772888,643.5146170408899
1.3744109,103.84894612027112,506,560506,506 ANG MO KIO AVE 8,10111.14274133517,483.1371820892782
1.3750911,103.8385632,4,560163,631 ANG MO KIO AVE 4,10281.14512073786,385.577882852916
1.3763727000000001,103.84207419040436,153,569878,153 ANG MO KIO AVE 5,10375.60091630593,678.4636196744506
1.3656538999999999,103.85526058802556,442,560442,442 ANG MO KIO AVE 10,9150.066731852765,804.5509153624632
1.37127495,103.8591842845461,558,560558,558 ANG MO KIO AVE 10,9800.349611561029,413.331657282924
1.3688114,103.84157971000224,212,560212,212 ANG MO KIO AVE 3,9550.050303192842,419.57800937330785
1.3767082,103.8398356,,560616,152 ANG MO KIO AVE 5,10440.027340525696,612.1783773731628
1.3621267000000001,103.85075550126663,331,560331,331 ANG MO KIO AVE 1,8749.634211073371,884.0299971749486
1.3699257999999999,103.8439568514047,121,560121,121 ANG MO KIO AVE 3,9646.48743103749,478.62368794439124
1.37037985,103.8418901232265,130,560130,130 ANG MO KIO AVE 3,9718.601961980547,560.7648464263908
1.3802799,103.8444593,6,569843,646 ANG MO KIO AVE 6,10783.61940267274,175.25327672259968
1.368603,103.85082026935956,424,560424,424 ANG MO KIO AVE 3,9465.691200938098,218.0211412799006
1.37075625,103.85349215301376,584,560584,584 ANG MO KIO AVE 3,9706.70239508675,448.01950913840597
1.36386765,103.85527909308787,412,560412,412 ANG MO KIO AVE 10,8952.888298445703,939.3056425854157
1.3840206,103.8372505,4,787082,612 ANG MO KIO AVE 4,11279.239026288613,113.24899703092002
1.370196,103.85901672502251,562,560562,562 ANG MO KIO AVE 3,9679.857619246255,410.8848403395806
1.3661227999999999,103.83798211624232,223,560223,223 ANG MO KIO AVE 1,9310.027946523827,355.26708458476656
1.3767776999999999,103.84201139498651,150,569878,150 ANG MO KIO AVE 5,10420.855806435853,642.7768118194927
1.3649920999999998,103.85631541517873,468,560468,468 ANG MO KIO AVE 10,9083.431197852047,907.7318985631697
1.37584675,103.83811901747687,177,560161,177 ANG MO KIO AVE 4,10370.786049143217,441.25354416729056
1.3643885500000001,103.85387570262225,415,560415,415 ANG MO KIO AVE 10,9004.092196142099,794.209286240579
1.3840206,103.8372505,4,787082,254 ANG MO KIO AVE 4,11279.239026288613,113.24899703092002
1.3658312000000001,103.84288471885537,207,560207,207 ANG MO KIO AVE 1,9206.806202777047,83.89226652976329
1.3683106,103.85360353836923,432,560432,432 ANG MO KIO AVE 10,9436.691364708295,494.50247779568997
1.3737864499999999,103.83552337995374,117,569897,117 ANG MO KIO AVE 4,10191.086854248557,238.3194017864678
1.36894055,103.85441145733841,428,560428,428 ANG MO KIO AVE 3,9509.172013820575,558.454737024954
1.3705693,103.85481250019535,573,560573,573 ANG MO KIO AVE 3,9690.851383989786,591.1574981759335
1.36496055,103.85404460496275,418,560418,418 ANG MO KIO AVE 10,9067.922912472028,757.443198113884
1.36833675,103.84687972133113,324,560324,324 ANG MO KIO AVE 3,9448.91432029319,351.69452474297753
1.3721356500000002,103.85059175,596,562596,596B ANG MO KIO ST 52,9856.478259436246,256.52186726567834
1.3698132,103.8543452,3,560427,234 ANG MO KIO AVE 3,9605.338860413232,537.486762736743
1.3779164,103.8635827,5,804463,648 ANG MO KIO AVE 5,10584.01103513201,870.6877210905823
1.36980025,103.83403195081762,253,560260,253A ANG MO KIO ST 21,9788.429306879569,399.8196669375734
1.3663031,103.85349591975684,439,560439,439 ANG MO KIO AVE 10,9214.470714284187,608.2340593130001
1.3643104,103.8433968,1,561310,306 ANG MO KIO AVE 1,9033.805844881044,145.7679435550089
